hour_start,hour_end,data_kind,trace_mean_attached_ues,synthetic_baseline_gbps,synthetic_solution_gbps,synthetic_loss_gbps,synthetic_hourly_reduction_percent,baseline_volume_weight
0,1,synthetic_calibrated_illustration,699.9926812979718,59.99999679182517,59.27188369125752,0.7281131005676471,1.2135218991659187,0.024937655710715028
1,2,synthetic_calibrated_illustration,587.3670054615815,48.99668168489734,48.60661623864279,0.3900654462545461,0.7961058439897967,0.02036437406929898
2,3,synthetic_calibrated_illustration,474.17856146337454,37.9933665779695,37.94134878602807,0.05201779194143086,0.136912826176329,0.01579109242788293
3,4,synthetic_calibrated_illustration,386.64717109295674,29.249997522576102,29.086419817337934,0.1635777052381684,0.5592400652749245,0.012157106779323239
4,5,synthetic_calibrated_illustration,345.55680456321073,27.773943057012612,27.637061156960833,0.13688190005177958,0.4928428771197413,0.011543617778645475
5,6,synthetic_calibrated_illustration,331.94001637559586,26.297888591449123,26.18770249658373,0.11018609486539432,0.41899217301126535,0.010930128777967714
6,7,synthetic_calibrated_illustration,313.1260920875683,23.345779660322144,23.288985175829527,0.056794484492616704,0.2432751671564136,0.009703150776612188
7,8,synthetic_calibrated_illustration,303.7139363333913,20.99999771863123,20.882300478082218,0.11769724054901332,0.5604631111202081,0.008728179017242516
8,9,synthetic_calibrated_illustration,315.85169870123536,24.821834125885633,24.738343836206628,0.08349028967900551,0.3363582612613507,0.010316639777289952
9,10,synthetic_calibrated_illustration,447.9190871748897,29.249997522576102,29.086419817337934,0.1635777052381684,0.5592400652749245,0.012157106779323239
10,11,synthetic_calibrated_illustration,557.2986572795601,43.49502413143342,43.27398251233544,0.22104161909798137,0.5081997849455998,0.018077733248590955
11,12,synthetic_calibrated_illustration,631.7554233542396,54.498339238361254,53.93924996495016,0.5590892734110966,1.0258831392380394,0.022651014890007003
12,13,synthetic_calibrated_illustration,699.7776944258936,59.99999679182517,59.27188369125752,0.7281131005676471,1.2135218991659187,0.024937655710715028
13,14,synthetic_calibrated_illustration,734.1042366136367,105.16715763476297,104.22558257151604,0.9415750632469297,0.8953128376036783,0.04371037515667899
14,15,synthetic_calibrated_illustration,990.2817357216694,122.61143895787113,121.12218531609157,1.4892536417795554,1.2146123187505025,0.050960700240292964
15,16,synthetic_calibrated_illustration,1160.8537304034137,140.05572028097927,138.01878806066708,2.0369322203121953,1.4543727426667825,0.05821102532390692
16,17,synthetic_calibrated_illustration,1916.8145654368209,157.50000160408743,154.91539080524262,2.584610798844807,1.6410227127119796,0.0654613504075209
17,18,synthetic_calibrated_illustration,2971.1231463100034,189.4879376793796,188.54434668877673,0.9435909906028712,0.49796889562409036,0.07875642006410263
18,19,synthetic_calibrated_illustration,5892.717944261054,229.74396919615367,229.0485460920981,0.6954231040555783,0.3026948243685262,0.09548793852948
19,20,synthetic_calibrated_illustration,6168.842250538406,249.87198495454072,249.3006457937588,0.5713391607819176,0.22865274828062918,0.10385369776216868
20,21,synthetic_calibrated_illustration,7076.684695504967,270.0000007129278,269.5527454954195,0.4472552175082569,0.16565008012121907,0.11221945699485737
21,22,synthetic_calibrated_illustration,5768.782084038595,209.61595343776665,208.7964463904374,0.819507047329239,0.3909564295508377,0.08712217929679132
22,23,synthetic_calibrated_illustration,1858.2940630164476,157.50000160408743,154.91539080524262,2.584610798844807,1.6410227127119796,0.0654613504075209
23,24,synthetic_calibrated_illustration,722.7517654289463,87.72287631165482,87.32897982694053,0.39389648471428984,0.44902367691967365,0.03646005007306503
